MPIO;Rural/Urbano
15180;Rural
15223;Rural
15332;Rural
17614;Urbano
18610;Rural
18860;Rural
19256;Rural
20001;Urbano
20013;Urbano
20045;Rural
20621;Rural
23466;Urbano
23580;Rural
23807;Urbano
27615;Rural
44001;Urbano
44035;Rural
44090;Rural
44650;Rural
